Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Year
92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA,Persons,All ages,,,2011,8.86579352033512,,,,,1672.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,District & UA (4/19-3/20),Persons,All ages,,,2011,12.9182665935272,,,,,1884.0,14584.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,District & UA (4/19-3/20),Persons,All ages,,,2011,12.7044025157233,,,,,2929.0,23055.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,District & UA (4/19-3/20),Persons,All ages,,,2011,13.5989638884656,,,,,1785.0,13126.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,District & UA (4/19-3/20),Persons,All ages,,,2011,8.86579352033512,,,,,1672.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000001,Bolton,County & UA (4/19-3/20),Persons,All ages,,,2011,8.86579352033512,,,,,1672.0,18859.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000002,Bury,County & UA (4/19-3/20),Persons,All ages,,,2011,13.5989638884656,,,,,1785.0,13126.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000003,Manchester,County & UA (4/19-3/20),Persons,All ages,,,2011,12.7044025157233,,,,,2929.0,23055.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000004,Oldham,County & UA (4/19-3/20),Persons,All ages,,,2011,12.9182665935272,,,,,1884.0,14584.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000005,Rochdale,County & UA (4/19-3/20),Persons,All ages,,,2011,12.1978959340347,,,,,1716.0,14068.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000006,Salford,County & UA (4/19-3/20),Persons,All ages,,,2011,11.4606598174973,,,,,1796.0,15671.0,,,Not compared,Not compared,20110000,,,2011-01-01
92489,Care home beds per 100 people 75+,E92000001,England,E08000008,Tameside,County & UA (4/19-3/20),Persons,All ages,,,2011,11.8927528537298,,,,,1792.0,15068.0,,,Not compared,Not compared,20110000,,,2011-01-01
